model_name,number_of_layers,total_trainable_parameters,training_time,training_accuracy,training_loss,val_accuracy,val_loss,test_accuracy,test_loss,c0_accuracy,c0_precision,c0_recall,c0_specificity,c0_f1,c1_accuracy,c1_precision,c1_recall,c1_specificity,c1_f1,c2_accuracy,c2_precision,c2_recall,c2_specificity,c2_f1,c3_accuracy,c3_precision,c3_recall,c3_specificity,c3_f1,c4_accuracy,c4_precision,c4_recall,c4_specificity,c4_f1,c5_accuracy,c5_precision,c5_recall,c5_specificity,c5_f1,c6_accuracy,c6_precision,c6_recall,c6_specificity,c6_f1,c7_accuracy,c7_precision,c7_recall,c7_specificity,c7_f1,c8_accuracy,c8_precision,c8_recall,c8_specificity,c8_f1,c9_accuracy,c9_precision,c9_recall,c9_specificity,c9_f1
base_model_greyscale,9,3933034,645.2206270694733,0.9955403804779053,53.03080749511719,0.9818840622901917,606.7649536132812,0.9855072498321533,320.1765441894531,0.9971014492753624,0.9919354838709677,0.9820359281437125,0.998995983935743,0.9869608826479438,0.9988851727982163,1.0,0.9890350877192983,1.0,0.9944873208379272,0.9988851727982163,0.9915966386554622,0.9978858350951374,0.9990029910269193,0.9947312961011591,0.9971014492753624,0.9892703862660944,0.9829424307036247,0.9987549800796812,0.986096256684492,0.9973244147157191,0.9955654101995566,0.9782135076252724,0.9995032290114257,0.9868131868131869,0.9984392419175028,0.9978858350951374,0.9874476987447699,0.9997504367357125,0.9926393270241851,0.9957636566332219,0.9889380530973452,0.9696312364425163,0.9987574552683897,0.9791894852135816,0.9988851727982163,0.9899244332493703,0.9974619289340102,0.9990222439501344,0.9936788874841972,0.9935340022296544,0.9362244897959183,0.9892183288409704,0.9939231891103549,0.9619921363040629,0.9950947603121516,0.9651972157772621,0.983451536643026,0.9963072378138847,0.9742388758782201
base_model_greyscale_with_es,9,3933034,155.207701921463,0.9769353866577148,0.08882671594619751,0.9601449370384216,0.30908939242362976,0.9716833829879761,0.11490575224161148,0.9855072463768116,0.8906810035842294,0.9920159680638723,0.9846887550200804,0.9386213408876298,0.9968784838350055,0.9783549783549783,0.9912280701754386,0.997517994539588,0.9847494553376906,0.9977703455964325,0.9978494623655914,0.9809725158562368,0.9997507477567298,0.9893390191897654,0.9917502787068004,0.984304932735426,0.9360341151385928,0.9982569721115537,0.9595628415300547,0.9944258639910813,0.9909502262443439,0.954248366013072,0.9990064580228515,0.9722530521642619,0.9986622073578595,0.9978902953586498,0.9895397489539749,0.9997504367357125,0.9936974789915967,0.9959866220735786,0.9804772234273319,0.9804772234273319,0.9977634194831014,0.9804772234273319,0.9982162764771461,0.9873737373737373,0.9923857868020305,0.9987778049376681,0.9898734177215189,0.9924191750278707,0.98005698005698,0.9272237196765498,0.9982984929508993,0.9529085872576177,0.9917502787068004,0.9488372093023256,0.9645390070921985,0.9945839487936977,0.9566236811254396
base_model_rgb,9,3935338,2301.6852769851685,0.9891993403434753,42.55195236206055,0.9832776188850403,148.44091796875,0.9830546379089355,127.76261138916016,0.9937569676700111,0.9683168316831683,0.9760479041916168,0.9959839357429718,0.9721669980119284,0.9979933110367893,0.9933774834437086,0.9868421052631579,0.9992553983618764,0.9900990099009901,0.9973244147157191,0.9935760171306209,0.9809725158562368,0.9992522432701895,0.9872340425531915,0.9971014492753624,0.9871794871794872,0.9850746268656716,0.9985059760956175,0.9861259338313767,0.9977703455964325,0.9786780383795309,1.0,0.9975161450571287,0.9892241379310345,0.9975473801560758,0.989517819706499,0.9874476987447699,0.9987521836785626,0.9884816753926702,0.9964325529542921,0.9664570230607966,1.0,0.9960238568588469,0.9829424307036247,0.9979933110367893,0.9800498753117207,0.9974619289340102,0.9980444879002689,0.9886792452830189,0.9948717948717949,0.9860335195530726,0.9514824797843666,0.9987846378220709,0.9684499314128944,0.9953177257525083,0.9902439024390244,0.9598108747044918,0.999015263417036,0.9747899159663865
rgb_batch_normalization,12,747698,6089.559813976288,1.0,3.127711534034461e-05,0.9896878600120544,0.048389602452516556,0.9939799308776855,0.03131641820073128,0.9982162764771461,0.9881188118811881,0.9960079840319361,0.9984939759036144,0.9920477137176938,0.9993311036789297,0.9934640522875817,1.0,0.9992553983618764,0.9967213114754099,0.999108138238573,0.9957716701902748,0.9957716701902748,0.9995014955134596,0.9957716701902748,0.9986622073578595,0.9894291754756871,0.997867803837953,0.9987549800796812,0.9936305732484076,0.9993311036789297,0.9956521739130435,0.9978213507625272,0.9995032290114257,0.9967355821545157,0.9988851727982163,0.9978947368421053,0.9916317991631799,0.9997504367357125,0.9947534102833159,0.9986622073578595,0.9956427015250545,0.9913232104121475,0.9995029821073559,0.9934782608695653,0.9995540691192865,1.0,0.9949238578680203,1.0,0.9974554707379135,0.9975473801560758,0.9918032786885246,0.9784366576819407,0.9992707826932425,0.9850746268656716,0.9986622073578595,0.9929078014184397,0.9929078014184397,0.9992614475627769,0.9929078014184397
ResNet152,518,40971010,2021.5636012554169,0.9534527063369751,0.16065865755081177,0.9116499423980713,0.31408771872520447,0.9199554324150085,0.291597843170166,0.9701226309921962,0.7983739837398374,0.9800399201596807,0.9688755020080321,0.8799283154121864,0.9959866220735786,0.9719827586206896,0.9890350877192983,0.9967733929014644,0.9804347826086957,0.9917502787068004,0.948559670781893,0.9746300211416491,0.9937686939182453,0.9614181438998958,0.9645484949832775,0.9967948717948718,0.6631130063965884,0.9997509960159362,0.7964148527528809,0.9687848383500557,0.7783595113438045,0.971677559912854,0.968455042225534,0.8643410852713178,0.9966555183946488,0.9853249475890985,0.9832635983263598,0.9982530571499876,0.9842931937172775,0.9904124860646599,0.9665178571428571,0.9392624728850325,0.996272365805169,0.9526952695269527,0.991304347826087,0.9944289693593314,0.9060913705583756,0.9995111219750672,0.9482071713147411,0.9832775919732442,0.9484848484848485,0.8436657681940701,0.9958677685950413,0.8930099857346647,0.9870680044593088,0.9334916864608076,0.9290780141843972,0.9931068439192516,0.9312796208530806
VGG16,22,7691010,3177.950006008148,1.0,0.00028382617165334523,0.9938684701919556,0.034424591809511185,0.9953176975250244,0.020529672503471375,0.9988851727982163,0.996,0.9940119760479041,0.9994979919678715,0.995004995004995,1.0,1.0,1.0,1.0,1.0,0.9995540691192865,1.0,0.9957716701902748,1.0,0.9978813559322034,0.999108138238573,0.9936305732484076,0.997867803837953,0.9992529880478087,0.9957446808510638,0.9993311036789297,0.9978165938864629,0.9956427015250545,0.9997516145057128,0.9967284623773174,0.9997770345596433,1.0,0.997907949790795,1.0,0.9989528795811519,0.9984392419175028,0.9850427350427351,1.0,0.9982604373757455,0.9924650161463939,0.9995540691192865,0.9949494949494949,1.0,0.9995111219750672,0.9974683544303797,0.9975473801560758,0.9945054945054945,0.9757412398921833,0.9995138551288284,0.9850340136054422,0.9984392419175028,0.9905660377358491,0.9929078014184397,0.999015263417036,0.9917355371900827
